#Table1
objid,ra,dec,z
1237648702968955007,189.084322444879,-1.12032242635443,0.08081593
1237648702968955071,189.054453642137,-1.10553005324586,0.0808229
1237648702969021018,189.282864729294,-1.21979710678637,0.07518725
1237648702969217173,189.69369669488,-1.24946900048184,0.08116315
1237648702969282773,189.787363691366,-1.09644449031376,0.04829505
1237648702969413718,190.105365169772,-1.11759779583951,0.07157665
1237648702970528053,192.745123498443,-1.15545489636386,0.0791899
1237648702970593413,192.775731381958,-1.11395528769759,0.08373197
1237648702970593457,192.843557883576,-1.11219352628684,0.07941343
1237648702970593481,192.863200905324,-1.05010099314138,0.09414652
1237648702970659014,192.973436727166,-1.06421069834047,0.09423424
1237648702970659049,193.029532290639,-1.05991987324389,0.0874192
1237648702970921160,193.584019787992,-1.07563024278002,0.0575485
1237648702970986612,193.664269107154,-1.08320804155866,0.07079878
1237648702971248785,194.283294503662,-1.10246992180498,0.09672827
1237648702971248801,194.323602325769,-1.14057545642912,0.09659571
1237648702971314240,194.47928030459,-1.20545320771355,0.09675472
1237648702971445443,194.765129118847,-1.22358114623647,0.08306821
1237648702971445451,194.775998330359,-1.09104246725428,0.08065153
1237648702971510924,194.960775602595,-1.19117837470875,0.08781853
1237648702971576349,195.010433599414,-1.21634381734753,0.08439973
1237648702971576353,195.069714803891,-1.20192279557653,0.08818983
1237648702971576471,194.993488208991,-1.17203816454726,0.08271774
1237648702971576485,195.063185533623,-1.22986284135676,0.08854663
1237648702971576515,195.122032544463,-1.10430916094045,0.08357777
1237648702971642125,195.227031849437,-1.22423823907858,0.04734872
1237648702971838640,195.659075988644,-1.07244876531384,0.08142212
1237648702971904200,195.885210704125,-1.1805435175403,0.08640127
1237648702971969822,195.975746949859,-1.2373779583867,0.0862124
1237648702972100644,196.242958518284,-1.09058050559898,0.08610736
1237648702972100793,196.259720242647,-1.17861878502606,0.08573217
1237648702972297393,196.77353137845,-1.17683922584799,0.01865457
1237648702972297439,196.747859669185,-1.11496230083355,0.08154684
1237648702972297542,196.762191775849,-1.10301954119469,0.08183071
1237648702972362838,196.832322423742,-1.10494952226508,0.0858928
1237648702972362870,196.871836914727,-1.05426114887622,0.08515193
1237648702972428429,196.947447521119,-1.06510136990882,0.08848357
1237648702972428492,197.047862898824,-1.24657364581222,0.08503134
1237648702972559513,197.330573184007,-1.15163989181103,0.08112979
1237648702972559538,197.353195300351,-1.06589787882115,0.07514119
1237648702972559541,197.364708255243,-1.0614156163802,0.07483354
1237648702972559600,197.30968444616,-1.15496730281985,0.08158669
1237648702972625038,197.421173999056,-1.04825957679716,0.02443011
1237648702972625053,197.417302394968,-1.05154401492896,0.02393271
1237648702972625117,197.395857217243,-1.16375840701962,0.08555816
1237648702972690527,197.637499026771,-1.21425673241709,0.08455453
1237648702972690555,197.55511154253,-1.19358326036406,0.08505128
1237648702972756106,197.770038843122,-1.24167657585954,0.06380931
1237648702972756128,197.825844052144,-1.2041120781363,0.08292848
1237648702972821572,197.924396116236,-1.06199123686639,0.063648
1237648702972821684,197.899388476385,-1.09034964265192,0.08495665
1237648702972821696,197.908851922269,-1.05769721374284,0.06387816
1237648702972821717,197.9665333929,-1.24047908704083,0.0975197
1237648702972821724,197.969692712417,-1.20285366772433,0.08403751
1237648702972887077,198.070019149864,-1.11972081548788,0.08610872
1237648702972887110,197.992240872415,-1.1776032250347,0.08500416
1237648702972887116,197.998122126854,-1.13506619346142,0.08757104
1237648702972887135,198.009626684245,-1.14551983709976,0.08451748
1237648702972887169,198.051997066322,-1.09512991349717,0.04086484
1237648702972887235,198.109429252103,-1.04973570073114,0.08302145
1237648702972887251,198.135644934478,-1.15086985901223,0.08569794
1237648702972887329,198.093756864631,-1.20623375415605,0.08769291
1237648702972952662,198.13650369511,-1.24174368624734,0.08473853
1237648702972952667,198.140585499183,-1.09187372361809,0.08504208
1237648702972952683,198.15411477988,-1.19750891409962,0.08540002
1237648702972952702,198.164825109665,-1.14011284792047,0.08467034
1237648702972952722,198.183679063753,-1.13403246374215,0.04052293
1237648702972952732,198.187588214133,-1.20062181106655,0.084401
1237648702972952789,198.26748235694,-1.22540364872155,0.08353332
1237648702973018270,198.357282355441,-1.12623148330788,0.084243
1237648702973018358,198.363995875295,-1.18475962893627,0.08413422
1237648702973083770,198.454795163531,-1.10473576556526,0.0834891
1237648702973083804,198.490607902497,-1.21206377040669,0.08192692
1237648704046760198,198.428206426225,-0.384405699717528,0.09444475
1237648704047087753,199.178681772321,-0.369682111058061,0.08260613
1237648704047284236,199.492683646279,-0.314175008800297,0.03387971
1237648704047284237,199.493126330694,-0.310920049141687,0.03368619
1237648704047284238,199.505527410035,-0.301931085724778,0.03234835
1237648704047284273,199.49823654932,-0.295335649872222,0.03347733
1237648704047349862,199.656620662649,-0.226942560117927,0.04782268
1237648704047349875,199.662807092652,-0.343554235046098,0.08141904
1237648704047349891,199.669540284732,-0.374748342264238,0.08189316
1237648704047349927,199.706525059479,-0.412119014268247,0.08230957
1237648704047349988,199.752148939386,-0.372870530601157,0.08287931
1237648704047415410,199.784437051516,-0.338657870211038,0.081264
1237648704047415460,199.870635271906,-0.341805975546495,0.0955038
1237648704047546589,200.197881003589,-0.213032057445527,0.08205603
1237648704047612094,200.269157138952,-0.246067240217005,0.08219874
1237648704047677507,200.479937749473,-0.313666016056178,0.07402559
1237648704047677608,200.471438983085,-0.298782500764227,0.07574287
1237648704047677628,200.507396898658,-0.303995738462695,0.0744108
1237648704047677629,200.506099023448,-0.299292184797822,0.07432845
1237648704047677650,200.523118708702,-0.257125630464941,0.07563096
1237648704047743174,200.661165937071,-0.281907778604226,0.01388197
1237648704047808622,200.696044723782,-0.229907990574241,0.08228508
1237648704047808623,200.6984962942,-0.231381135657825,0.08181835
1237648704047808626,200.696244960661,-0.400251595125927,0.07563971
1237648704047808680,200.769669297599,-0.284916811567907,0.08204828
1237648704047808727,200.80995208382,-0.315619136194735,0.0755471
1237648704047808730,200.809839537637,-0.220986906808391,0.08196013
1237648704047808740,200.826397325895,-0.252420974182276,0.05464414
1237648704047874225,200.900871457351,-0.334033590179191,0.08180794
1237648704047874229,200.912691182368,-0.382286153765688,0.08145296
1237648704047874281,200.954682406599,-0.333746559090204,0.05153014
1237648704047939723,200.981546836474,-0.361998037904718,0.05493388
1237648704047939756,201.052029497532,-0.207180320517287,0.055442
1237648704048005258,201.143785299335,-0.222455978689094,0.08218509
1237648704048005275,201.169586466759,-0.234745920376017,0.07551912
1237648704048005308,201.207435260658,-0.248725745823328,0.0749653
1237648704048005356,201.259351177442,-0.378421518549347,0.07545102
1237648704048005385,201.27000607798,-0.341416198133008,0.09257895
1237648704048070808,201.372386797327,-0.220651295497256,0.09368766
1237648704048136394,201.449238364016,-0.248358608870639,0.0833808
1237648704048136409,201.455977514406,-0.289999326745536,0.08322639
1237648704048136440,201.477576884936,-0.411992901566789,0.0750481
1237648704048136508,201.508547473741,-0.408902246900605,0.07662496
1237648704048201928,201.618284934415,-0.290361262274966,0.08008775
1237648704048201991,201.700219823206,-0.320999131464815,0.08148253
1237648704048201994,201.704186579564,-0.226670134428051,0.08164672
1237648704048332959,201.984062083556,-0.302765459418362,0.04604892
1237648704048398484,202.050850258734,-0.370940106982931,0.05541164
1237648704048398494,202.059187342577,-0.395331750596447,0.05530245
1237648704048464069,202.212350493857,-0.36546274911196,0.02179444
1237648704048464089,202.22296493021,-0.322685079559375,0.04613728
1237648704048529580,202.452455017509,-0.294161985324678,0.02124054
1237648704048529754,202.355140074162,-0.399143520108293,0.01079305
1237648704048660701,202.764403153382,-0.383242846248248,0.09429195
1237648704048726275,202.852259059876,-0.411740325830501,0.08655477
1237648704048726314,202.913330361829,-0.337802259670302,0.05612796
1237648704048857286,203.151012221973,-0.389460675420095,0.03424437
1237648704048922731,203.247068689177,-0.345403042286586,0.03440157
1237648704048922761,203.274557321364,-0.407063797066218,0.08647047
1237648704049053815,203.648128826176,-0.353238480589352,0.01263841
1237648704049119426,203.768950640648,-0.306395995292654,0.08613902
1237648704049184955,203.836949236713,-0.394822761672331,0.07604571
1237648704049185051,203.956561996724,-0.216894750539377,0.07576311
1237648704049250317,203.98120322612,-0.241420292968693,0.07615651
1237648704049250457,204.012832249338,-0.25253354400649,0.07625112
1237648704049250518,204.08488409237,-0.412822271906921,0.04741794
1237648704049381611,204.287323930116,-0.287239284064624,0.0610222
1237648704049447009,204.564104821911,-0.398550148561042,0.02204254
1237648704049512499,204.608633310944,-0.2276135111954,0.01239225
1237648704049512634,204.586434786857,-0.205559326182944,0.01203844
1237648704049512646,204.607399629779,-0.412595164648332,0.06156222
1237648704049643618,204.956250994211,-0.33026305112496,0.02243455
1237648704049774773,205.267984071076,-0.39058535323173,0.09004688
1237648704049840289,205.337621791546,-0.291887169810656,0.08770674
1237648704049840303,205.358733783026,-0.41230645983013,0.09041515
1237648704049840321,205.368824134772,-0.36254490075455,0.08771852
1237648704049840352,205.379847470462,-0.380138443554729,0.07187126
1237648704049840397,205.406898529352,-0.22369301026934,0.08871085
1237648704049905802,205.472659863602,-0.351045126526599,0.08709573
1237648704049905813,205.482528093803,-0.387266060541141,0.08937021
1237648704049905821,205.483538659843,-0.359112564676893,0.08760937
1237648704049905836,205.486783052769,-0.315386189906229,0.08941884
1237648704049905857,205.517258904592,-0.411732517728032,0.08843993
1237648704049905867,205.518814542071,-0.301654933308261,0.08868074
1237648704049905873,205.533411694949,-0.275437099350009,0.08862462
1237648704049905874,205.519970846128,-0.281551278626852,0.08685431
1237648704049905920,205.521648186328,-0.227390952607823,0.08876412
1237648704049905959,205.550849987434,-0.293800214450161,0.08609245
1237648704049906018,205.597100852403,-0.233295176895386,0.08952934
1237648704049906046,205.617587240521,-0.293877913521443,0.0904146
1237648704049971379,205.62254772327,-0.312664138134002,0.08948262
1237648704049971441,205.670771343056,-0.298721781103554,0.08886703
1237648704050036972,205.894235745094,-0.253723061051761,0.07713702
1237648704050037063,205.780582768124,-0.338456871994207,0.06871965
1237648704050102409,205.92551853433,-0.33743744722033,0.02538639
1237648704050102438,205.934734376211,-0.300680823207951,0.0882504
1237648704050102589,206.068531023143,-0.244652267556107,0.07110524
1237648704050233524,206.263602778884,-0.233201802529411,0.08793359
1237648704050233542,206.27821372616,-0.241174690450653,0.08698143
1237648704050299086,206.491738029898,-0.291132625763205,0.08919691
1237648704050299100,206.514219102395,-0.207183631743839,0.07087119
1237648704050299243,206.391060517446,-0.215609780624635,0.07688676
1237648704050364654,206.583530407469,-0.329639557934543,0.04792073
1237648704050429969,206.692946308894,-0.29342938739594,0.07801712
1237648704050430324,206.741685077715,-0.353675977176863,0.08958714
1237648704050561258,207.084823405113,-0.369890383107474,0.09202364
1237648704050692241,207.315738722574,-0.334536927842298,0.08310145
1237648704050692299,207.393392878979,-0.222462999414066,0.03057908
1237648704051085385,208.260782381129,-0.238441511254594,0.03234868
1237648704051478591,209.10377696755,-0.247727649677008,0.02975463
1237648704051478700,209.11448710606,-0.28775879441862,0.02981813
1237648704051478788,209.082283176113,-0.284848764307917,0.06917019
1237648704051478835,209.115392219446,-0.373131174135876,0.06961987
1237648704051544282,209.236403784687,-0.381460916299675,0.06995656
1237648704051609784,209.444980051428,-0.364693339325996,0.07898407
1237648704051675158,209.529401999066,-0.392479637283269,0.02957562
1237648704051675159,209.528791883547,-0.389961029084903,0.02967202
1237648704052068490,210.418714982837,-0.395483974252701,0.02556891
1237648704052330747,211.108279096688,-0.356155814703674,0.04756837
1237648704052330764,211.123921926906,-0.276810786379404,0.07902597
1237648704052396090,211.262115378781,-0.251408613872248,0.03281746
1237648704052396092,211.256484912983,-0.254277122208674,0.03239046
1237648704052396136,211.170406063082,-0.413069825359281,0.02490769
1237648704052396143,211.173252620671,-0.295535743429954,0.07909509
1237648704052396196,211.229867396693,-0.368184559465035,0.06999499
1237648704052396393,211.288879652166,-0.294340609315109,0.03248152
1237648704052527246,211.505930339981,-0.310551106789088,0.02454863
1237648704052658334,211.797220365977,-0.377454281346992,0.07972385
1237648704052723954,211.97226000032,-0.324370147822953,0.05311634
1237648704052724017,212.006606587214,-0.225604351730019,0.05328913
1237648704052724066,212.056198498046,-0.289669659971806,0.08316067
1237648704052789315,212.163942047951,-0.366165688488938,0.07665356
1237648704052789477,212.136699451874,-0.23352993738906,0.09566075
1237648704052789487,212.157630702964,-0.225136504867739,0.05204193
1237648704052854963,212.297752841389,-0.412248942628976,0.08304734
1237648704052920412,212.357555669881,-0.335197942127173,0.07101605
1237648704052920448,212.390995896347,-0.290835611062798,0.07042255
1237648704052920522,212.471353903435,-0.383976439623904,0.05446
1237648704052920565,212.496973059495,-0.377399019505476,0.08195096
1237648704052986048,212.514498854618,-0.355848647156731,0.08298903
1237648704052986086,212.533098929032,-0.396793717054165,0.09675542
1237648704052986096,212.540051927832,-0.283341975234644,0.05335716
1237648704053051481,212.75731930864,-0.332298815231009,0.05473021
1237648704053051658,212.779840554295,-0.34218698406105,0.05465138
1237648704053117069,212.84806522031,-0.300506283302048,0.02595581
1237648704053117072,212.852010120543,-0.273005419005903,0.08241674
1237648704053117153,212.939259134285,-0.230549353445949,0.04783304
1237648704053248176,213.218232629224,-0.378848885447616,0.09618083
1237648704053575934,213.986886047944,-0.344460740712839,0.07706022
1237648704053641511,214.138225526385,-0.293205649793044,0.07727106
1237648704053706887,214.170815190133,-0.301572203052887,0.07824092
1237648704053903529,214.714140902395,-0.280190956271053,0.05139021
